Germany Keeps,19
Mittelstadt,28
Tah,27
Rudiger,26
Kimmich,35
Kroos,46
Andrich,18
Wirtz,32
Musiala,55
Gundogan,34
Havertz,48
Xhaka,48
Akanji,20
Croatia Keeps,15
Gvardiol,10
Sutalo,26
Stanisic,21
Brozovic,21
Modric,5
Kovacic,23
Majer,27
Kramaric,25
Rodri,20
Spain Keeps,45
Carvajal,41
Normand,28
Nacho,36
Pedri,41
F. Ruiz,54
N. Williams,26
Morata,41
Yamal,51
Italy Keeps,23
di Lorenzo,37
Bastoni,41
Dimarco,32
Barella,51
Jorginho,35
Chiesa,41
Pellegrini,42
Scamacca,29
Hojbjerg,24
Bellingham,49
Pavlovic,39
Veerman,30
Netherlands Keeps,39
Ake,46
van Dijk,33
de Vrij,35
Dumfries,32
Simons,19
Reijnders,19
Gakpo,61
Depay,19
Hojlund,15
S. Milinkovic-Savic,24
England Keeps,28
Walker,27
Stones,38
Guehi,26
Trippier,25
Alexander-Arnold,20
Rice,33
Saka,21
Foden,23
Kane,24
Dovbyk,22
Tsygankov,5
Belgium Keeps,30
Faes,30
Castagne,16
Onana,28
de Bruyne,29
Trossard,16
Doku,19
Lukaku,19
France Keeps,41
Kounde,35
Upamecano,36
Saliba,28
T. Hernandez,36
Kante,35
Rabiot,26
Thuram,35
Dembele,17
Mbappe,25
Griezmann,25
Denmark Keeps,26
